Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.142.157-202.89.233.100-54175-80-6,192.168.142.157,54175,202.89.233.100,80,6,13/02/2026 04:13:42 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-54175-80-6,192.168.142.157,54175,202.89.233.100,80,6,13/02/2026 04:13:42 AM,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-54175-80-6,192.168.142.157,54175,202.89.233.100,80,6,13/02/2026 04:13:42 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-111.45.11.5-39241-80-6,192.168.142.157,39241,111.45.11.5,80,6,13/02/2026 04:13:42 AM,203809,3,10,110.0,30522.0,110.0,0.0,36.666666666666664,63.50852961085883,5808.0,0.0,3052.2000000000003,2043.9502494489002,150297.58254051587,63.785210662924605,16984.083333333332,37220.01263606432,98275.0,0.0,99152.0,49576.0,69160.70005429383,98480.0,672.0,108857.0,12095.22222222222,32350.312033957947,98275.0,0.0,0,0,0,0,80,204,14.719663999136447,49.065546663788155,0.0,5808.0,2188.0,2214.4304008028794,4903702.000000001,1,2,0,9,12,0,0,0,3.0,2356.3076923076924,36.666666666666664,3052.2,0,0,0,30632,9,292689,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-111.45.11.5-39241-80-6,192.168.142.157,39241,111.45.11.5,80,6,13/02/2026 04:13:43 AM,3595,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3894.2976356050067,276.5384615384615,661.0261738873149,2038.0,0.0,3595.0,276.5384615384615,661.0261738873149,2038.0,0.0,0,0,0,0,0,0,0,0,0,280,0,3894.2976356050067,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63920,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-111.45.11.5-39241-80-6,192.168.142.157,39241,111.45.11.5,80,6,13/02/2026 04:13:43 AM,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-111.45.11.5-39241-80-6,192.168.142.157,39241,111.45.11.5,80,6,13/02/2026 04:13:43 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-111.45.11.5-39241-80-6,192.168.142.157,39241,111.45.11.5,80,6,13/02/2026 04:13:43 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-111.45.11.5-39241-80-6,192.168.142.157,39241,111.45.11.5,80,6,13/02/2026 04:13:43 AM,818,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2444.9877750611245,818.0,0.0,818.0,818.0,818.0,818.0,0.0,818.0,818.0,0,0,0,0,0,0,0,0,0,40,0,2444.9877750611245,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.101-40115-80-6,192.168.142.157,40115,202.89.233.101,80,6,13/02/2026 04:13:43 AM,151808,3,3,109.0,242.0,109.0,0.0,36.333333333333336,62.93117934166921,242.0,0.0,80.66666666666667,139.71876514388944,2312.131112984823,39.523608768971336,30361.6,37215.62201952293,77494.0,0.0,88359.0,44179.5,62479.248078862154,88359.0,0.0,74314.0,37157.0,37182.502981913414,63449.0,10865.0,0,0,0,0,80,64,19.761804384485668,19.761804384485668,0.0,242.0,50.142857142857146,93.84815496575408,8807.47619047619,1,2,0,2,5,0,0,0,1.0,58.5,36.333333333333336,80.66666666666667,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-36455-80-6,192.168.142.157,36455,202.89.233.100,80,6,13/02/2026 04:13:43 AM,169799,3,3,108.0,17039.0,108.0,0.0,36.0,62.353829072479584,17039.0,0.0,5679.666666666667,9837.471236722035,100984.10473559915,35.33589714898203,33959.799999999996,49209.614519928924,112267.0,1.0,57173.0,28586.5,40426.00178721611,57172.0,1.0,116572.0,58286.0,76340.66231046204,112267.0,4305.0,0,0,0,0,80,64,17.667948574491014,17.667948574491014,0.0,17039.0,2449.5714285714284,6433.459200594521,4.138939728571428E7,1,2,0,2,5,0,0,0,1.0,2857.8333333333335,36.0,5679.666666666667,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-36455-80-6,192.168.142.157,36455,202.89.233.100,80,6,13/02/2026 04:13:43 AM,2332,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.3481989708407,291.5,524.1777234052262,1383.0,0.0,2332.0,333.14285714285717,551.6981144827391,1383.0,0.0,0,0,0,0,0,0,0,0,0,160,20,3430.5317324185253,428.81646655231566,0.0,0.0,0.0,0.0,0.0,1,0,1,0,8,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63920,64239,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.45.0.8-202.89.233.100-36455-80-6,10.45.0.8,36455,202.89.233.100,80,6,13/02/2026 04:13:43 AM,1146,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1745.2006980802792,1146.0,0.0,1146.0,1146.0,1146.0,1146.0,0.0,1146.0,1146.0,0,0,0,0,0,0,0,0,0,40,0,1745.2006980802792,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.45.0.8-202.89.233.100-36455-80-6,10.45.0.8,36455,202.89.233.100,80,6,13/02/2026 04:13:43 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-36455-80-6,192.168.142.157,36455,202.89.233.100,80,6,13/02/2026 04:13:43 AM,4236,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,472.1435316336166,4236.0,0.0,4236.0,4236.0,4236.0,4236.0,0.0,4236.0,4236.0,0,0,0,0,0,0,0,0,0,40,0,472.1435316336166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-112.53.42.52-42465-80-6,192.168.142.157,42465,112.53.42.52,80,6,13/02/2026 04:13:44 AM,93986,3,3,107.0,318.0,107.0,0.0,35.666666666666664,61.776478803289955,318.0,0.0,106.0,183.597385602301,4521.950077671143,63.83929521418084,18797.199999999997,22088.685626356313,43047.0,0.0,50939.0,25469.5,36019.312326861545,50939.0,0.0,51666.0,25833.0,24344.272262690458,43047.0,8619.0,0,0,0,0,80,64,31.91964760709042,31.91964760709042,0.0,318.0,60.71428571428572,120.25627396760399,14461.57142857143,1,2,0,2,5,0,0,0,1.0,70.83333333333333,35.666666666666664,106.0,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-112.53.42.52-37621-443-6,192.168.142.157,37621,112.53.42.52,443,6,13/02/2026 04:13:44 AM,313208,18,8,746.0,15568.0,517.0,0.0,41.44444444444444,124.50288077093414,9984.0,0.0,1946.0,3520.2404138678608,52086.792163673985,83.01192817552554,12528.319999999998,29869.8153084347,131865.0,0.0,313208.0,18424.0,38825.721670691455,143722.0,0.0,250933.0,35847.57142857143,46905.96559378897,131865.0,645.0,0,0,0,0,380,164,57.469796429209985,25.542131746315548,0.0,9984.0,604.2222222222222,2033.1590488569059,4133735.717948718,0,2,1,7,25,0,0,0,0.0,627.4615384615385,41.44444444444444,1946.0,0,0,0,16314,7,66936,0,0,0,0,65280,64240,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-112.53.42.52-38095-80-6,192.168.142.157,38095,112.53.42.52,80,6,13/02/2026 04:13:44 AM,115740,3,3,107.0,318.0,107.0,0.0,35.666666666666664,61.776478803289955,318.0,0.0,106.0,183.597385602301,3672.0235009504063,51.840331778123385,23148.0,30175.097539196126,60897.0,0.0,54843.0,27421.5,37857.78995794657,54191.0,652.0,64727.0,32363.5,40352.462681972705,60897.0,3830.0,0,0,0,0,80,64,25.920165889061693,25.920165889061693,0.0,318.0,60.71428571428572,120.25627396760399,14461.57142857143,1,2,0,2,5,0,0,0,1.0,70.83333333333333,35.666666666666664,106.0,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
